mac,1,2,3,4,5,6,7,8,9,10,label
e6:53:5c:2a:e8:e2,-33.0,-31.0,-44.0,-42.0,-45.0,-48.0,-57.0,-47.0,-50.0,-56.0,AB
e6:53:5c:2a:e8:e2,-33.0,-29.0,-37.0,-37.0,-42.0,-42.0,-48.0,-46.0,-48.0,-47.0,AB
e6:53:5c:2a:e8:e2,-34.0,-31.0,-40.0,-50.0,-43.0,-50.0,-47.0,-52.0,-54.0,-55.0,AB
e6:53:5c:2a:e8:e2,-28.0,-28.0,-33.0,-46.0,-45.0,-46.0,-46.0,-53.0,-44.0,-52.0,AB
e6:53:5c:2a:e8:e2,-36.0,-31.0,-37.0,-44.0,-50.0,-52.0,-47.0,-47.0,-54.0,-50.0,AB
e6:53:5c:2a:e8:e2,-35.0,-29.0,-39.0,-44.0,-43.0,-53.0,-46.0,-49.0,-53.0,-61.0,AB
e6:53:5c:2a:e8:e2,-37.0,-31.0,-36.0,-38.0,-51.0,-44.0,-49.0,-46.0,-57.0,-50.0,AB
e6:53:5c:2a:e8:e2,-41.0,-33.0,-33.0,-43.0,-45.0,-52.0,-49.0,-59.0,-46.0,-47.0,AB
e6:53:5c:2a:e8:e2,-33.0,-31.0,-32.0,-43.0,-39.0,-47.0,-51.0,-45.0,-43.0,-59.0,AB
e6:53:5c:2a:e8:e2,-34.0,-28.0,-41.0,-39.0,-52.0,-46.0,-45.0,-44.0,-54.0,-45.0,AB
e6:53:5c:2a:e8:e2,-41.0,-31.0,-31.0,-35.0,-40.0,-48.0,-45.0,-48.0,-54.0,-56.0,AB
e6:53:5c:2a:e8:e2,-36.0,-32.0,-30.0,-33.0,-41.0,-52.0,-49.0,-50.0,-55.0,-55.0,AB
e6:53:5c:2a:e8:e2,-38.0,-26.0,-32.0,-40.0,-37.0,-49.0,-48.0,-51.0,-53.0,-64.0,AB
e6:53:5c:2a:e8:e2,-34.0,-28.0,-43.0,-45.0,-40.0,-42.0,-51.0,-50.0,-50.0,-50.0,AB
e6:53:5c:2a:e8:e2,-33.0,-32.0,-38.0,-46.0,-43.0,-45.0,-48.0,-54.0,-50.0,-53.0,AB
e6:53:5c:2a:e8:e2,-31.0,-27.0,-29.0,-40.0,-39.0,-49.0,-45.0,-50.0,-59.0,-53.0,AB
e6:53:5c:2a:e8:e2,-31.0,-29.0,-30.0,-39.0,-43.0,-48.0,-51.0,-49.0,-50.0,-50.0,AB
e6:53:5c:2a:e8:e2,-33.0,-32.0,-27.0,-44.0,-38.0,-46.0,-45.0,-50.0,-47.0,-48.0,AB
e6:53:5c:2a:e8:e2,-31.0,-30.0,-34.0,-38.0,-42.0,-43.0,-50.0,-49.0,-50.0,-46.0,AB
e6:53:5c:2a:e8:e2,-45.0,-34.0,-31.0,-27.0,-28.0,-44.0,-39.0,-41.0,-49.0,-50.0,AB
76:64:61:f6:e6:14,-34.0,-34.0,-36.0,-38.0,-52.0,-63.0,-59.0,-58.0,-62.0,-56.0,AB
76:64:61:f6:e6:14,-35.0,-35.0,-52.0,-54.0,-59.0,-61.0,-65.0,-60.0,-54.0,-44.0,AB
76:64:61:f6:e6:14,-43.0,-36.0,-44.0,-30.0,-38.0,-51.0,-67.0,-62.0,-59.0,-58.0,AB
76:64:61:f6:e6:14,-36.0,-37.0,-30.0,-53.0,-57.0,-55.0,-59.0,-67.0,-53.0,-45.0,AB
76:64:61:f6:e6:14,-32.0,-37.0,-29.0,-58.0,-60.0,-61.0,-62.0,-66.0,-48.0,-50.0,AB
76:64:61:f6:e6:14,-33.0,-39.0,-48.0,-58.0,-58.0,-68.0,-54.0,-48.0,-45.0,-55.0,AB
76:64:61:f6:e6:14,-35.0,-38.0,-33.0,-33.0,-41.0,-63.0,-56.0,-59.0,-58.0,-65.0,AB
76:64:61:f6:e6:14,-34.0,-35.0,-33.0,-52.0,-61.0,-56.0,-57.0,-55.0,-59.0,-44.0,AB
76:64:61:f6:e6:14,-42.0,-39.0,-37.0,-34.0,-55.0,-54.0,-60.0,-56.0,-60.0,-48.0,AB
76:64:61:f6:e6:14,-41.0,-34.0,-52.0,-58.0,-63.0,-64.0,-54.0,-47.0,-50.0,-55.0,AB
76:64:61:f6:e6:14,-44.0,-51.0,-50.0,-35.0,-36.0,-56.0,-64.0,-61.0,-55.0,-60.0,AB
76:64:61:f6:e6:14,-52.0,-41.0,-41.0,-33.0,-39.0,-54.0,-59.0,-70.0,-54.0,-47.0,AB
76:64:61:f6:e6:14,-41.0,-42.0,-41.0,-49.0,-45.0,-59.0,-69.0,-65.0,-63.0,-53.0,AB
76:64:61:f6:e6:14,-46.0,-43.0,-35.0,-34.0,-57.0,-67.0,-59.0,-64.0,-64.0,-64.0,AB
76:64:61:f6:e6:14,-53.0,-43.0,-44.0,-34.0,-49.0,-60.0,-55.0,-64.0,-62.0,-62.0,AB
76:64:61:f6:e6:14,-41.0,-39.0,-31.0,-43.0,-40.0,-63.0,-58.0,-63.0,-57.0,-53.0,AB
76:64:61:f6:e6:14,-40.0,-45.0,-31.0,-28.0,-42.0,-58.0,-58.0,-62.0,-64.0,-55.0,AB
76:64:61:f6:e6:14,-43.0,-40.0,-29.0,-46.0,-50.0,-52.0,-65.0,-63.0,-60.0,-54.0,AB
76:64:61:f6:e6:14,-53.0,-36.0,-43.0,-36.0,-40.0,-44.0,-55.0,-60.0,-63.0,-59.0,AB
76:64:61:f6:e6:14,-45.0,-39.0,-29.0,-38.0,-45.0,-60.0,-69.0,-63.0,-52.0,-56.0,AB
