Classifier,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Score_Mean,F1_Score_Std,MCC_Mean,MCC_Std,CV_Mean_Mean,CV_Mean_Std
GaussianProcess,0.8161764705882352,0.02410822986875738,0.8161764705882354,0.024108229868757342,0.8171680200938467,0.025732702742063768,0.8161764705882352,0.02410822986875738,0.8149058809539454,0.024101360783957682,0.7560635074598884,0.032710317080941916,0.7982775786539227,0.009239756633641951
SVC_RBF,0.8149509803921569,0.015306367643133275,0.8149509803921569,0.015306367643133294,0.815861602200512,0.014764690157491026,0.8149509803921569,0.015306367643133275,0.8134234240898869,0.014332260861334782,0.7545097161002127,0.020850282663702223,0.7998193662172156,0.006454051164107123
SVC_Linear,0.8125,0.01684770476086705,0.8125,0.016847704760867114,0.8123607185002032,0.016734332151771156,0.8125,0.01684770476086705,0.8117914580713269,0.016354121903313635,0.7503975496211179,0.02272787622019032,0.7939793480116061,0.005916157741984227
StackingEnsemble,0.8112745098039215,0.015306367643133334,0.8112745098039217,0.015306367643133294,0.8122488982382302,0.012451408933376939,0.8112745098039215,0.015306367643133334,0.8102502727980084,0.013901843408001066,0.7493027039569512,0.020422324708390675,0.8022771235136826,0.0019233693389961596
CatBoost,0.8088235294117648,0.012735667702712289,0.8088235294117648,0.012735667702712289,0.8107737688458506,0.015365834972704115,0.8088235294117648,0.012735667702712289,0.8086429683419224,0.013425569916232456,0.7458214140633838,0.017395242668554665,0.0,0.0
RandomForest,0.8075980392156863,0.016578124091260617,0.8075980392156863,0.016578124091260693,0.8080559877652407,0.016019652175922557,0.8075980392156863,0.016578124091260617,0.8065948485286497,0.016441925380228095,0.7442177839372874,0.022015682148459132,0.789668316550037,0.006665114686185564
LogisticRegression_L1,0.8075980392156863,0.03126801672101243,0.8075980392156863,0.03126801672101248,0.8075222623293095,0.0314126043889417,0.8075980392156863,0.03126801672101243,0.8064128503266947,0.03094156292668234,0.7441740417700013,0.041919988361236275,0.7893653638277294,0.009677157214190199
LogisticRegression_ElasticNet,0.8075980392156863,0.03126801672101243,0.8075980392156863,0.03126801672101248,0.8075222623293095,0.0314126043889417,0.8075980392156863,0.03126801672101243,0.8064128503266947,0.03094156292668234,0.7441740417700013,0.041919988361236275,0.7902884451271547,0.0074449393096586375
MLP_Large,0.8063725490196078,0.015306367643133294,0.8063725490196078,0.015306367643133294,0.8075263245868808,0.014052242168738417,0.8063725490196078,0.015306367643133294,0.8050091934554549,0.014276889652264872,0.7429968582426373,0.020719526463764865,0.780153040905729,0.018460330520309574
LogisticRegression_L2,0.8063725490196078,0.033156248182521275,0.8063725490196078,0.03315624818252132,0.8061690546226874,0.03333479076151114,0.8063725490196078,0.033156248182521275,0.8051578708639133,0.033019546378057436,0.7425215173702818,0.04433675177189272,0.7924389827615634,0.008442962750799227
Bagging,0.8063725490196078,0.00925224808243961,0.8063725490196078,0.00925224808243963,0.8067560383048673,0.008971048400176113,0.8063725490196078,0.00925224808243961,0.8056361315141037,0.009575767140012082,0.7424025360216749,0.012057220450250268,0.7835253456221197,0.008337061974924845
ExtraTrees,0.801470588235294,0.00972702687891398,0.801470588235294,0.009727026878913839,0.8026393264913022,0.009166709296109639,0.801470588235294,0.00972702687891398,0.7997206766231079,0.010038034807935813,0.7367207248668733,0.012596116062673758,0.7915159014621381,0.006634343984298146
MLP_Medium,0.801470588235294,0.02573529411764704,0.801470588235294,0.025735294117647103,0.8014425383086133,0.02594349868303198,0.801470588235294,0.02573529411764704,0.8002917709652716,0.025552974079294532,0.7360024700300514,0.03449455471876081,0.7656980713432326,0.009765211145549069
VotingEnsemble,0.801470588235294,0.011029411764705926,0.801470588235294,0.011029411764705926,0.8031806436332879,0.01063533437337197,0.801470588235294,0.011029411764705926,0.8004054219872002,0.010962836088095016,0.7364759300660807,0.014689219536633576,0.7933577971212379,0.004035533322631441
MLP_L2,0.801470588235294,0.02573529411764704,0.801470588235294,0.025735294117647103,0.8014425383086133,0.02594349868303198,0.801470588235294,0.02573529411764704,0.8002917709652716,0.025552974079294532,0.7360024700300514,0.03449455471876081,0.7653908516811742,0.009952097984343593
LDA,0.7977941176470589,0.02295955146469999,0.7977941176470589,0.022959551464700047,0.7981567065836176,0.023801401504801433,0.7977941176470589,0.02295955146469999,0.7966183529059676,0.022795676023838703,0.7312408940888447,0.03095332000357997,0.7936650167832964,0.005072501891375945
HistGradientBoosting,0.7965686274509803,0.004245222567570843,0.7965686274509803,0.004245222567570763,0.79857957190612,0.0021440622619148357,0.7965686274509803,0.004245222567570843,0.7959052354893604,0.003463285744181387,0.7297922491047157,0.005372405658177286,0.7742831541218638,0.006128377269796941
GradientBoosting,0.7953431372549019,0.014858278986497693,0.795343137254902,0.014858278986497653,0.799896776871028,0.016177363649982672,0.7953431372549019,0.014858278986497693,0.7941676306870508,0.015087095022824687,0.7293397555531002,0.020092452660872517,0.7822865107811344,0.0015938966724939757
XGBoost,0.7941176470588235,0.02046972192216924,0.7941176470588235,0.020469721922169257,0.7952514241165994,0.01899371824118877,0.7941176470588235,0.02046972192216924,0.7931424003799245,0.019570160708802093,0.7264625269905336,0.027442503107851554,0.7795129999431074,0.003343207427118488
LinearSVC,0.7941176470588235,0.02918108063674184,0.7941176470588235,0.02918108063674184,0.7937206094805184,0.029776679424844747,0.7941176470588235,0.02918108063674184,0.7925720580666411,0.029293714360748034,0.7263052302303653,0.0390192683037261,0.7807504124708425,0.0050809028900506955
SVC_Poly,0.7928921568627452,0.022463606347822747,0.7928921568627452,0.02246360634782279,0.8135595938410836,0.01954665490352664,0.7928921568627452,0.022463606347822747,0.7915021577718546,0.02208986400205368,0.7324058784992902,0.029253228261621283,0.758310576321329,0.00696968962480671
NuSVC,0.7928921568627452,0.016578124091260648,0.7928921568627452,0.016578124091260665,0.7927052214632574,0.017612517832008685,0.7928921568627452,0.016578124091260648,0.7901496369529836,0.015946376056073654,0.7255204755492323,0.02285379930178954,0.7887495021903623,0.004013512955632571
KNN_7,0.7855392156862745,0.029943116967820135,0.7855392156862745,0.02994311696782006,0.791132626300944,0.03229995880925511,0.7855392156862745,0.029943116967820135,0.7837557096952419,0.02990610644418441,0.716790625082754,0.04082487430794937,0.775531945155601,0.0037199158559605055
QDA,0.7830882352941176,0.02046972192216924,0.7830882352941176,0.020469721922169202,0.7827339217277739,0.020243389604604506,0.7830882352941176,0.02046972192216924,0.7805933788030909,0.01985687293300246,0.7121617631813019,0.027623511019231883,0.7693662172156795,0.003301873482668338
MLP_Small,0.7732843137254902,0.0021226112837853814,0.77328431372549,0.0021226112837853814,0.7742340170609788,0.0009226253011062073,0.7732843137254902,0.0021226112837853814,0.771480258521315,0.002840430130394745,0.698980753208818,0.0020941168703186887,0.7352719462934516,0.0015951412725843264
AdaBoost,0.7720588235294118,0.016847704760867072,0.7720588235294117,0.016847704760867104,0.782436156535894,0.018446093270082006,0.7720588235294118,0.016847704760867072,0.771248186882317,0.018332823997479274,0.6996836897529208,0.022070214031148165,0.7607597997382943,0.0029830771592905593
KNN_5,0.767156862745098,0.02090529670249012,0.7671568627450981,0.020905296702490153,0.7720691908928478,0.026124711142409687,0.767156862745098,0.02090529670249012,0.7655646802822179,0.02163002752079759,0.6918839652846249,0.029070144184816342,0.762615918529897,0.011843357153028738
KNN_3,0.7659313725490197,0.033961780540566235,0.7659313725490197,0.033961780540566235,0.7711802138015238,0.03348463872163864,0.7659313725490197,0.033961780540566235,0.7649472018405583,0.03295798031108622,0.6898902190015631,0.04593810227942027,0.7450930192865677,0.004531731078991408
SGDClassifier,0.7659313725490197,0.04937067911393058,0.7659313725490197,0.04937067911393058,0.7716933878898202,0.04973678134812447,0.7659313725490197,0.04937067911393058,0.7660518929759368,0.048923158290179736,0.6897656321233478,0.06626843771938556,0.7377069465779144,0.03331540977086285
RidgeClassifier,0.7585784313725491,0.013918893004412432,0.7585784313725489,0.013918893004412385,0.7577347923185407,0.015282483194197723,0.7585784313725491,0.013918893004412432,0.7562894763991931,0.013723675034046284,0.6791790334080892,0.01903430033050818,0.7527592877055241,0.002775644581213862
DecisionTree,0.7291666666666666,0.025025217961595746,0.7291666666666666,0.025025217961595746,0.7304074459856591,0.025613689798814135,0.7291666666666666,0.025025217961595746,0.7286509963561049,0.025781644169605367,0.6395505343355344,0.033072835148047826,0.683862433862434,0.00968737325050535
GaussianNB,0.7291666666666666,0.01291134038339799,0.7291666666666666,0.01291134038339799,0.7284093056399916,0.012757609966947523,0.7291666666666666,0.01291134038339799,0.7271653041715226,0.011963590662290918,0.6398490076193438,0.017775507551146687,0.7435355862775217,0.0042054214406867995
NearestCentroid,0.7132352941176471,0.012735667702712289,0.7132352941176471,0.0127356677027124,0.71286065009854,0.011463670391350362,0.7132352941176471,0.012735667702712289,0.7111430616323352,0.010692650785790599,0.6187725695615084,0.01787679459518892,0.7247852306992092,0.003719913408757202
ExtraTree,0.6887254901960783,0.023348724121639308,0.6887254901960785,0.023348724121639235,0.6910317044247467,0.02517519480381186,0.6887254901960783,0.023348724121639308,0.6883458095641338,0.02357012973910011,0.5858582773053161,0.031546843558319514,0.6568356374807989,0.01666967870539207
Perceptron,0.6850490196078431,0.06580094979734703,0.6850490196078431,0.06580094979734703,0.701473513582665,0.07677745076415644,0.6850490196078431,0.06580094979734703,0.6791468622076255,0.059968019677023914,0.5868805200039843,0.09309222776453756,0.6697004608294931,0.0427574320127604
PassiveAggressive,0.6715686274509803,0.19676274582100634,0.6715686274509803,0.19676274582100628,0.7090481620362449,0.1459316637301574,0.6715686274509803,0.19676274582100634,0.6672848724412109,0.20479285403897465,0.5702991243452799,0.25192851334339966,0.666073562041304,0.03594030636878474
DummyMostFrequent,0.25,0.0,0.25,0.0,0.0625,0.0,0.25,0.0,0.10000000000000002,0.0,0.0,0.0,0.2490783410138249,0.0
DummyStratified,0.22671568627450978,0.0188661817626724,0.22671568627450978,0.0188661817626724,0.22591316512392967,0.021170495410490753,0.22671568627450978,0.0188661817626724,0.22569897066151645,0.020443694469324567,-0.031133148160715832,0.025268939614953346,0.25060163850486433,0.0034904819053044587
